ID,l_s,l_2,l_1,w_s,w_2,w_1,freq,s_2,s_1
1,6.04,7.36,7.4,0.57,0.41,0.18,2.93 GHz,0.18,0.24
2,6.39,6.9,7.32,0.62,0.54,0.15,1.57 GHz,0.34,0.35
3,6.36,7.39,6.71,0.69,0.54,0.2,3.12 GHz,0.33,0.23
4,5.9,7.15,6.72,0.6,0.42,0.29,1.34 GHz,0.17,0.28
5,6.31,7.44,6.85,0.62,0.5,0.2,2.30 GHz,0.27,0.22
6,6.29,6.58,6.95,0.55,0.51,0.25,3.89 GHz,0.33,0.21
7,5.53,6.63,7.37,0.51,0.56,0.12,2.68 GHz,0.34,0.18
8,5.59,7.0,7.45,0.58,0.45,0.25,1.74 GHz,0.35,0.22
9,5.8,7.01,7.18,0.65,0.42,0.29,3.69 GHz,0.28,0.26
10,5.86,7.16,7.43,0.52,0.41,0.29,3.68 GHz,0.16,0.27
11,6.15,7.42,7.32,0.52,0.5,0.21,1.41 GHz,0.32,0.28
12,5.68,7.12,6.78,0.67,0.42,0.11,990.00 MHz,0.21,0.34
13,5.53,7.38,6.62,0.58,0.46,0.14,2.15 GHz,0.22,0.16
14,6.45,7.46,7.24,0.54,0.43,0.12,2.42 GHz,0.17,0.19
15,6.36,6.68,6.88,0.56,0.44,0.26,3.56 GHz,0.17,0.3
16,5.67,7.13,7.34,0.63,0.52,0.21,2.10 GHz,0.19,0.31
17,6.38,7.01,7.29,0.6,0.42,0.13,2.72 GHz,0.33,0.22
18,5.62,6.5,6.9,0.55,0.42,0.28,3.02 GHz,0.21,0.26
19,5.57,6.87,6.76,0.62,0.58,0.26,1.48 GHz,0.18,0.27
20,6.08,7.13,6.7,0.55,0.57,0.11,2.49 GHz,0.27,0.21
21,5.8,6.57,6.93,0.54,0.57,0.26,1.46 GHz,0.21,0.15
22,6.05,7.14,6.84,0.64,0.42,0.1,860.00 MHz,0.29,0.33
23,5.56,7.05,7.25,0.57,0.5,0.23,1.75 GHz,0.33,0.28
24,6.12,7.22,6.95,0.65,0.46,0.17,860.00 MHz,0.18,0.34
25,5.5,7.25,6.51,0.7,0.41,0.13,2.80 GHz,0.19,0.15
26,6.11,7.11,6.99,0.51,0.44,0.22,2.12 GHz,0.25,0.35
27,6.31,7.25,7.19,0.68,0.48,0.19,940.00 MHz,0.25,0.35
28,5.52,6.92,6.61,0.64,0.58,0.18,1.33 GHz,0.32,0.28
29,5.72,6.72,6.84,0.64,0.5,0.29,2.75 GHz,0.28,0.16
30,5.84,7.08,7.41,0.53,0.56,0.23,2.23 GHz,0.19,0.22
31,5.51,6.94,6.71,0.69,0.59,0.11,3.50 GHz,0.33,0.25
32,6.36,7.07,6.85,0.58,0.4,0.14,2.30 GHz,0.21,0.27
33,5.77,6.87,7.33,0.56,0.4,0.11,3.07 GHz,0.33,0.27
34,6.27,6.56,6.97,0.61,0.42,0.15,3.57 GHz,0.16,0.3
35,6.39,6.51,7.03,0.6,0.46,0.29,1.60 GHz,0.28,0.19
36,5.96,7.03,6.73,0.52,0.55,0.11,2.87 GHz,0.16,0.18
37,6.12,7.12,7.39,0.6,0.45,0.24,2.93 GHz,0.28,0.3
38,6.19,6.63,7.07,0.7,0.56,0.11,2.46 GHz,0.17,0.27
