ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm),S1,S2
1,3.6354,4.3216,6.1904,1.8328,1.2421,9.6073,8.793636,91.08093
2,4.5221,4.7652,14.9231,0.7833,4.6305,18.2638,107.15555,853.2601
3,0.9731,1.4279,8.3317,0.7489,3.0278,8.9035,65.473785,535.2371
4,0.5237,4.5867,3.7798,0.6898,1.3654,12.3587,3.076983,-1.0487983
5,3.306,3.482,3.9103,1.7166,0.6312,12.9759,13.318916,69.29824
6,3.0717,1.0567,15.4474,0.8148,4.569,4.2593,125.869125,1078.0302
7,3.8256,4.7371,15.5897,0.2369,2.6067,12.8639,51.903008,502.48584
8,2.1496,2.8407,13.5556,0.2531,0.8807,12.9538,23.277111,264.79895
9,1.3971,0.5955,1.0102,1.5292,3.014,2.7423,58.585106,327.77722
10,2.7526,4.3244,12.305,1.5483,2.9106,6.8388,70.49132,629.1608
11,2.0403,1.8446,7.959,0.4889,1.7107,1.2835,6.818619,49.250927
12,4.5666,0.4899,15.2637,1.3898,1.9252,5.7492,36.93367,406.6808
13,3.172,0.4725,8.5358,0.1186,1.7851,12.7244,20.417343,201.57579
14,3.7259,2.7618,13.0839,0.4631,2.5769,0.8561,42.752045,429.86285
15,4.9674,3.4763,11.837,0.8842,3.5456,10.3738,84.55654,710.555
16,2.7976,3.5334,16.4797,1.4889,1.5886,17.9319,45.55213,443.6825
17,2.0386,3.463,6.7844,1.9411,2.1105,16.1407,32.16548,215.56134
18,2.7489,4.1963,13.8571,0.9451,2.991,0.8163,62.50519,598.3869
19,4.9624,2.9186,8.686,0.1098,1.85,17.0222,26.38658,219.5891
20,2.7416,2.5098,16.584,1.6504,0.2686,0.5579,-3.736987,47.60493
21,3.8018,2.7927,1.6608,0.1929,3.6817,6.5626,65.3998,392.3945
22,2.9501,4.0852,6.6964,1.6374,0.7408,14.8705,23.050953,170.51067
23,4.557,2.3412,15.428,0.4014,2.3025,13.1678,46.428604,465.56653
24,3.8237,2.8263,15.1123,1.3557,1.4964,2.0247,14.218424,223.4411
25,1.4464,1.9614,14.8877,0.155,3.1476,1.988,65.83124,633.3569
26,0.9891,3.405,7.7719,0.2592,3.1409,12.2305,58.11916,452.2939
27,0.6231,4.812,6.0478,1.482,0.676,13.0862,14.140001,111.131615
28,4.9696,4.2047,6.7808,0.3853,3.9314,15.1796,73.469124,513.1787
29,3.2085,0.6924,5.7239,0.8378,1.9675,15.7869,22.815334,151.60564
30,1.2087,2.6706,16.7181,0.1591,0.4167,7.5131,5.31778,130.20532
31,1.9389,2.9808,12.5551,0.5647,1.1882,13.117,23.953354,272.4328
32,3.7715,2.8176,2.2293,0.4231,4.1278,6.9961,82.7,526.32355
33,4.2825,4.8772,1.1006,1.077,2.3946,5.5597,28.500576,115.23133
34,0.666,0.152,16.1484,0.9935,3.0149,11.165,74.52663,691.6734
35,2.5636,0.9438,15.4728,0.4061,3.7199,19.9139,80.74749,662.1303
36,2.5203,1.1567,3.9531,0.1797,4.7977,19.1442,85.280624,490.1208
37,2.5891,4.2455,0.9677,1.6056,2.0426,18.6268,14.312719,-48.502605
38,2.1687,1.0209,14.0977,0.7886,1.6683,15.1537,37.80712,386.01117
39,2.6839,4.1064,17.6851,0.952,4.371,2.8081,116.897415,1049.6226
40,3.5356,3.527,14.3524,1.121,3.3796,13.7832,80.2027,690.29114
41,1.3989,0.9991,15.966,0.7253,1.8791,15.2624,43.96284,448.8779
42,1.245,2.1828,19.3848,0.5231,1.6668,6.8775,27.377785,362.9776
43,1.2371,4.4095,8.5197,0.2187,3.167,9.8557,61.426476,497.90033
44,0.9126,0.4777,12.2084,1.1288,4.5286,19.9284,105.45221,797.80133
45,4.7406,2.5936,18.4994,1.2655,0.6262,9.805,20.365532,288.7042
46,4.3934,2.0698,6.545,0.1791,4.7172,15.2271,101.56953,709.6469
47,2.8297,4.4448,17.0376,1.3186,4.0208,12.0346,106.009476,914.9463
48,3.6616,2.3367,10.6576,0.7242,2.3188,3.2577,37.137447,362.30194
49,3.3683,3.7224,3.6575,0.6459,4.9754,3.4566,113.23684,768.13983
50,4.1102,3.2961,14.2354,0.4651,1.7208,16.3661,37.84452,378.34506
51,0.7518,1.6889,16.3229,0.9884,0.7052,18.7383,60.599724,546.94434
52,4.7347,4.9475,5.8772,1.1076,3.4563,12.2607,67.27559,474.1673
53,2.3454,4.8941,2.7008,1.6912,0.1494,12.1434,30.729355,181.47777
54,1.8516,2.8902,12.9108,0.4456,4.4133,18.6848,97.47667,760.0143
55,4.5597,2.7941,17.4615,1.7445,3.3102,9.6713,89.29006,812.3792
56,4.3858,0.4412,6.2156,0.2038,2.2211,8.76,25.80994,209.38231
57,3.5505,3.5289,17.4321,1.9947,1.2995,18.0696,46.58097,460.7895
58,3.5358,2.6066,2.958,1.978,2.5819,19.646,28.878706,62.33109
59,3.976,4.8225,7.8442,0.5646,3.4868,14.6293,64.02892,473.25024
60,2.3148,3.8773,4.2393,1.904,1.1039,2.9635,5.0544467,-7.1099777
61,4.6645,0.2338,14.632,1.6314,2.5328,14.1224,59.87161,546.7635
62,2.8243,2.248,11.4159,1.0909,4.7475,5.101,128.4885,1028.2834
63,0.7701,2.6494,10.6676,1.2386,3.8168,6.6974,98.488556,807.70404
64,3.9182,0.3882,7.3425,0.6303,1.4371,11.1484,10.977539,117.00105
65,0.8302,2.6641,19.5557,0.9842,4.7612,13.9388,128.65828,1100.5718
66,1.3457,3.9749,12.7838,0.883,3.3788,6.9967,81.4772,714.4826
67,3.2115,1.6766,18.5484,0.2327,0.646,8.6909,13.2738495,223.15823
68,4.219,2.5819,0.6757,1.4227,3.7701,1.7887,76.84103,443.78094
69,0.714,4.3889,10.5232,1.9892,4.952,19.335,116.36272,839.6828
70,4.0963,3.0477,14.2027,1.5764,4.6398,6.8616,129.36694,1075.2178
71,3.9622,1.3216,16.8388,1.2438,3.2101,19.5765,74.163185,629.7603
72,3.5469,4.5526,0.661,1.9415,3.988,14.0495,69.49812,325.02182
73,2.5593,3.6227,6.053,0.9586,0.707,13.4981,16.068398,120.58189
74,1.5359,3.0998,12.8521,1.1075,0.1365,4.9007,3.5212307,75.21213
75,3.7588,4.8191,1.9458,0.794,0.2471,6.0384,73.96741,431.425
76,2.4367,0.7599,11.3632,0.2366,1.5713,14.7016,28.092339,286.493
77,4.4186,3.4307,18.4671,0.1686,2.2131,6.6663,38.771,443.17102
78,4.9429,3.6013,13.7197,1.4775,4.0001,19.4229,90.34878,705.9223
79,3.3756,2.4321,3.024,0.5161,1.7036,18.4077,11.163208,-4.2891297
80,1.719,3.1556,11.1639,1.574,3.4401,14.724,80.13995,643.5848
81,4.9434,3.2373,19.1669,1.6561,0.9087,9.6981,24.004093,337.7397
82,1.8953,3.3538,16.9524,0.4573,3.7925,2.3117,93.37671,865.94745
83,3.3967,1.333,1.6678,0.5962,1.0948,3.2103,29.474678,87.931404
84,4.0627,2.8312,10.0606,0.2093,1.8899,2.3121,13.625843,156.18152
85,3.8147,4.9114,16.6987,0.7356,3.5863,6.2054,88.11961,810.2632
86,4.6311,1.6699,2.2713,1.3823,2.2193,7.4338,30.240688,168.17937
87,4.2525,2.1233,16.3834,0.8139,3.4034,13.2555,82.87319,739.00806
88,4.2968,0.4527,13.5477,1.1569,0.6563,6.6045,1.7029167,83.71071
89,3.944,3.9075,17.1203,0.7867,1.1364,4.2849,6.531088,173.16034
90,2.9031,0.1565,13.1197,1.4496,1.5625,3.5276,19.73307,247.30717
91,4.5646,2.455,18.451,1.6604,3.3629,1.2524,87.267296,838.77875
92,0.6459,1.3931,16.4467,0.8532,3.207,15.1447,75.45406,676.4933
93,4.7053,1.1599,6.6459,1.0619,0.7058,12.1681,14.951284,119.541466
94,2.8486,0.8525,2.0392,0.4929,2.7918,9.647,39.436134,216.59407
95,1.5925,0.983,1.1357,1.0966,3.2221,11.6877,53.51249,272.09766
96,4.9446,0.8158,9.9929,0.1516,1.3393,15.5013,26.098354,240.05379
97,3.8399,4.18,4.4645,1.5257,0.1555,4.6204,57.268982,363.69763
98,3.4784,2.5313,15.9215,1.1302,3.7336,10.4531,97.94168,856.3326
99,3.6777,1.1054,9.0254,0.8002,1.7717,4.9252,17.12204,183.28215
100,3.4747,0.1797,1.2081,1.9827,0.1727,2.189,160.36871,776.8017
101,1.9431,3.2205,0.8253,0.1693,0.5014,15.2488,34.21936,141.54866
102,1.7683,4.5422,9.5939,1.6319,4.9878,10.8444,130.69528,993.9613
103,4.6806,1.8134,16.4939,1.9454,2.143,15.3716,53.49888,509.0932
104,1.9247,1.0194,15.0388,1.4456,2.2172,10.7922,50.76503,500.83002
105,3.7521,0.5941,15.0486,0.1633,4.8204,17.8477,115.428894,928.37103
106,4.819,3.4462,5.0132,0.4494,4.7956,12.3113,104.61717,712.85944
107,3.1044,0.9181,15.2934,1.5279,3.5385,17.684,84.26201,701.9912
108,2.9323,0.4907,12.926,1.0686,1.8098,6.3853,28.4571,318.27954
109,4.3766,1.3983,17.2472,0.5867,4.8868,8.7368,134.04028,1142.5143
