ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm),S1,S2
1,1.99,2.48,7.62,1.98,1.33,5.35,13.809639,98.7867
2,4.47,0.6,8.61,1.91,4.91,5.07,12.277553,83.50667
3,4.29,0.91,1.58,0.32,0.74,9.46,17.638634,79.702194
4,2.58,2.36,8.5,1.69,0.64,9.04,15.663675,128.78357
5,2.71,1.64,2.67,1.77,3.22,5.36,18.072794,75.882996
6,1.29,4.53,3.9,0.21,0.49,3.71,17.928324,99.78908
7,1.42,1.47,0.53,1.68,2.83,7.75,19.358448,79.966675
8,3.23,2.92,2.73,1.01,0.78,9.31,17.543024,96.11297
9,2.58,0.71,6.89,0.53,3.03,3.78,14.024622,73.2253
10,3.77,1.84,0.78,1.59,4.11,6.37,20.03254,83.69409
11,4.58,4.05,5.75,0.63,2.8,0.98,15.011371,82.102554
12,1.59,4.23,7.55,1.87,1.1,9.94,15.418408,128.34583
13,3.83,1.62,8.78,0.16,2.87,6.17,12.301775,94.38815
14,2.91,3.3,4.34,1.9,3.95,6.66,16.721624,84.666695
15,0.57,0.23,1.81,1.97,2.78,1.38,20.37737,74.682045
16,4.64,1.77,4.89,1.23,1.01,2.05,15.923288,70.91379
17,3.97,0.13,3.1,1.59,4.21,7.07,19.305029,87.41056
18,4.09,4.98,5.34,1.18,0.25,1.69,18.023735,110.68965
19,3.94,0.59,9.98,0.86,3.57,1.72,9.832495,69.510086
20,3.35,3.08,5.77,0.26,1.03,4.94,16.245045,90.642235
21,4.75,0.31,7.52,1.58,3.76,1.0,13.741238,66.60523
22,0.98,4.92,1.51,1.99,0.4,7.32,16.848682,96.64061
23,3.67,3.46,4.55,0.36,2.83,0.8,15.651817,67.46799
24,3.67,0.7,8.1,0.94,2.97,2.07,12.301146,68.84802
25,2.83,0.26,9.29,1.54,3.42,5.1,12.074231,89.82709
26,2.18,2.92,0.72,1.5,4.51,2.74,19.115234,75.94661
27,4.23,2.11,5.14,1.28,0.83,2.33,16.01696,75.83644
28,3.87,4.45,3.34,0.63,2.16,3.11,17.716257,93.41499
29,4.14,4.06,4.54,0.45,2.51,7.09,17.63841,96.60754
30,2.26,2.71,4.08,1.61,1.06,8.34,17.061975,98.740265
31,2.94,4.12,3.78,0.41,0.11,7.23,16.665203,94.62091
32,2.78,2.37,5.74,0.99,1.77,5.67,16.261034,92.24678
33,3.92,2.26,5.27,1.7,2.73,0.98,15.829088,65.54906
34,3.61,1.98,6.55,0.43,0.6,6.59,15.1293745,98.99103
35,3.49,4.41,4.59,0.21,3.67,4.07,14.82439,76.73102
36,3.31,1.62,3.94,0.57,1.1,8.82,16.39091,89.37788
37,3.2,2.13,5.09,0.86,4.1,3.68,16.10934,73.47156
38,1.06,3.32,7.23,1.41,0.41,6.36,13.914379,100.57373
39,2.75,3.97,4.34,0.85,0.68,8.45,17.098576,106.67546
40,1.53,2.1,4.0,1.84,4.51,8.62,15.998681,83.337585
41,1.22,2.62,7.14,0.72,4.69,9.56,12.967795,105.0419
42,3.16,2.34,2.14,1.55,2.42,3.18,17.959211,68.98552
43,4.68,3.48,9.12,1.92,3.4,8.54,12.846933,115.25491
44,3.41,2.3,4.33,1.5,1.71,5.21,17.289011,82.90316
45,1.81,4.01,0.81,0.45,0.1,3.03,17.789865,84.343
46,2.19,1.68,2.21,1.85,4.93,6.42,19.360502,86.02063
47,2.09,0.92,8.07,0.55,3.65,8.27,13.296342,100.82775
48,0.9,0.69,8.45,0.85,3.72,7.43,13.035265,98.99336
49,1.97,2.36,5.07,1.44,4.7,9.19,14.426586,88.38536
50,3.27,4.47,9.27,1.06,4.94,2.21,4.4740057,64.364395
51,1.56,2.44,5.79,1.24,3.33,0.99,14.925806,63.60067
52,2.16,0.48,5.03,1.36,0.38,9.69,15.726881,98.233925
53,4.03,2.84,2.18,1.79,3.28,9.02,17.345205,82.64542
54,4.56,0.47,0.71,1.71,2.18,9.94,19.51274,85.65685
55,2.04,1.26,7.43,0.73,3.78,4.34,12.963537,76.71612
56,3.1,3.69,7.0,0.61,4.57,8.59,11.002914,96.455124
57,4.77,3.31,6.85,1.44,1.12,9.48,15.415022,119.3616
58,1.61,0.46,6.23,0.48,2.58,1.19,14.506407,61.617607
59,2.57,1.71,4.85,2.0,0.37,1.56,16.147245,73.26845
60,2.68,4.49,5.25,0.57,4.28,4.99,11.882437,73.93115
61,3.07,1.03,0.83,1.51,4.88,6.05,21.749582,91.086334
62,4.63,1.62,4.41,1.79,2.3,9.36,15.959776,92.303474
63,4.77,0.93,7.41,1.35,2.83,6.71,13.938895,92.12216
64,1.48,2.49,6.52,0.99,4.83,9.56,13.1509,99.63489
65,4.44,2.47,4.74,1.27,2.28,2.53,16.715866,71.96641
66,2.45,4.49,1.85,0.22,3.14,5.26,17.800653,85.40797
67,0.7,4.42,8.72,1.77,4.59,8.88,9.139242,105.30563
68,1.62,0.76,8.46,0.41,1.44,2.43,11.944618,75.82053
69,2.88,2.01,3.76,1.68,4.45,6.87,16.901949,80.6537
70,3.53,1.08,0.69,1.91,1.23,5.79,19.264528,75.23932
