ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm)
1,2.1854,2.5484,12.9438,0.7269,3.7336,0.5367
2,4.7782,3.7591,9.4562,1.6518,4.4174,19.2197
3,3.794,2.8571,19.3077,1.9893,2.3696,10.9387
4,3.194,0.5082,4.7701,1.6974,1.517,14.1578
5,1.2021,1.0093,11.9632,0.7577,1.6623,18.2956
6,1.202,1.1747,14.1541,1.4514,3.515,8.9465
7,0.7614,1.3635,16.5985,1.1145,2.881,9.0927
8,4.3978,2.8705,8.4359,1.5944,2.4838,3.7561
9,3.205,2.5694,13.895,0.3909,1.0936,18.1637
10,3.6863,1.0955,6.4124,1.3125,4.3897,13.1296
11,0.5926,0.431,8.9918,1.57,3.927,4.0153
12,4.8646,0.94,17.9647,1.5463,0.7891,11.4159
13,4.246,4.9235,19.0232,1.9308,1.9002,6.8992
14,1.4555,2.3959,14.5169,0.211,2.7564,3.37
15,1.3182,4.35,7.7999,0.757,2.3263,4.0465
16,1.3253,4.2589,16.4911,1.0055,2.0492,11.4055
17,1.8691,2.6064,1.0044,0.6886,3.6223,11.5055
18,2.8614,3.5628,2.5035,0.6886,0.3671,15.9038
19,2.4438,1.0445,13.3968,0.4346,2.4099,5.3357
20,1.8105,3.4731,6.1793,1.6446,1.3847,18.3588
21,3.2533,1.4347,19.052,1.8253,0.5146,10.613
22,1.1277,4.1771,9.0032,0.2564,2.3779,4.4814
23,1.8147,0.5102,8.8726,0.3943,0.9397,8.559
24,2.1486,3.8884,13.7226,0.5341,1.3653,18.5055
25,2.5523,0.5897,15.4676,1.0671,2.5843,9.8241
26,4.0333,4.4178,9.7734,1.6032,4.8712,17.5569
27,1.3985,1.5906,4.673,0.2358,3.4528,3.6167
28,2.8141,3.3065,15.5795,1.3099,1.4701,18.3222
29,3.1659,2.4888,6.7468,0.3837,1.9738,8.8971
30,0.709,1.8949,3.9147,1.9458,2.0901,18.7545
31,3.234,3.2627,12.817,1.8077,0.8528,17.3885
32,1.2674,4.7429,2.2638,1.9042,0.8872,13.3693
33,0.7927,0.3022,19.4414,0.3017,0.8271,13.6205
34,4.77,4.6024,12.8317,1.0273,2.6562,4.6244
35,4.8453,3.0845,19.725,0.414,3.4035,12.2552
36,4.1378,4.0558,7.1084,1.2407,2.9945,11.2152
37,1.8708,1.981,19.4385,0.5422,4.8911,7.0159
38,0.9395,2.412,3.3385,1.5642,0.7168,10.3596
39,3.579,4.3574,1.2935,1.3236,4.9337,18.6183
40,2.4807,2.1328,1.1432,1.186,2.3867,0.6035
41,1.0492,2.7198,9.565,1.6679,1.1713,8.6339
42,2.7283,0.199,2.1186,1.0505,4.7221,7.006
43,0.6547,0.8771,10.4873,0.6127,2.3962,19.244
44,4.5919,3.2443,6.8863,1.2793,1.802,19.4909
45,1.6645,3.6132,7.0448,1.9184,1.1477,11.9204
46,3.4814,2.9547,12.8944,1.2422,1.4126,11.2251
47,1.9027,0.8022,3.6804,1.2963,4.8982,18.1126
48,2.8403,2.2825,15.4478,1.876,1.5895,0.6276
49,2.9602,1.84,11.8496,1.079,4.8912,11.4645
50,1.3318,2.5287,18.3414,1.9931,1.7181,0.9803
51,4.8631,4.3646,7.6144,0.4034,1.234,19.3792
52,3.9881,3.9017,19.6629,1.1204,0.9985,6.7431
53,4.7277,0.5115,11.7286,0.5045,2.1181,10.6556
54,4.5267,4.4625,19.4813,0.9613,1.2604,8.6426
55,3.1905,2.4117,1.0277,0.4241,3.515,17.9257
56,4.6484,3.7449,14.6955,0.5228,1.2749,19.9964
57,0.8982,0.7862,16.4241,0.5005,4.1934,1.8336
58,1.3819,3.3865,1.5369,0.7081,4.1867,14.7746
59,0.7035,1.258,11.7899,0.3557,1.4991,7.676
60,1.964,2.2481,16.1379,1.6378,3.7923,3.2119
61,2.249,0.1826,11.4403,0.5193,4.302,8.406
62,1.7211,0.8429,1.7444,0.8915,2.9917,19.9639
63,4.2293,0.5512,14.0222,0.1305,1.895,7.4726
