ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm),S1,S2
1,2.04,5.1,3.6,6.6,0.1,7.4,20,119.3
2,2.042,5.1,3.6,6.4,0.1,7.4,20,120.8
3,2.045,5.1,3.6,6.2,0.1,7.4,18.5,115
4,2.047,5.1,3.6,6,0.1,7.4,18,120.9
5,2.103,4.8,3.6,6,0.1,7.4,19,114.9
6,2.13,4.6,3.6,6,0.1,7.4,20,105.7
7,2.5,4,3.2,5.7,0.2,7.6,18.5,93.5
8,2.134,4.4,3.8,6,0.1,7.4,19.5,113.5
9,2.05,4.4,4,6,0.1,7.4,18.5,93.5
10,1.96,4.4,4.2,6,0.1,7.4,17,147.3
11,19.26,4.6,4.2,6,0.1,7.4,16,126.7
12,1.903,4.6,4.2,6,0.1,7.6,16,117.4
13,1.894,4.6,4.2,6,0.1,7.8,16.5,144.17
14,1.89,4.6,4.2,6,0.1,8,17,145.9
15,1.903,4.6,4.2,6.2,0.1,8,17,148.2
16,1.91,4.6,4.2,6.4,0.2,8,17.5,148.1
17,1.913,4.6,4.2,6.6,0.2,8,18.5,155.1
18,1.911,4.6,4.2,6.5,0.2,8,14,133.1
19,1.902,4.6,4.2,6.3,0.2,8,13.5,128.9
20,1.876,4.6,4.2,6.1,0.2,8,12,118.2
21,1.879,4.6,4.2,6.1,0.2,7.8,12,117.8
22,1.881,4.6,4.2,6.1,0.2,7.6,11.5,118.1
23,1.965,4.6,4,6.1,0.2,7.6,13,120.5
24,1.913,4.8,4,6.1,0.2,7.6,12,122.1
25,2.03,4.4,4,6.1,0.2,7.6,14,153.6
26,2.11,4.4,3.8,6.1,0.2,7.6,15,146.8
27,2.21,4.4,3.6,6.1,0.2,7.6,16,151.6
28,2.249,4.2,3.6,6.1,0.2,7.6,16.5,152.1
29,2.33,4.2,3.4,6.1,0.2,7.6,17.5,112.1
30,2.4,4,3.4,6.1,0.2,7.6,18.5,102.7
31,2.47,4,3.2,6.1,0.2,7.6,20,90.2
32,2.49,4,3.2,5.9,0.2,7.6,20,94.8
33,2.2,4.4,3.6,6,0.1,7.4,20,158.3
