l_s,l_2,l_1,s_2,s_1,w_s,w_2,w_1,freq,S11_dB,S21_dB
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,800.0 MHz,-0.471,-9.909
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,900.0 MHz,-0.558,-9.218
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.000 GHz,-0.644,-8.638
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.100 GHz,-0.729,-8.144
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.200 GHz,-0.812,-7.718
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.300 GHz,-0.892,-7.344
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.400 GHz,-0.972,-7.012
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.500 GHz,-1.05,-6.714
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.600 GHz,-1.127,-6.444
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.700 GHz,-1.203,-6.195
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.800 GHz,-1.279,-5.964
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,1.900 GHz,-1.356,-5.749
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.000 GHz,-1.432,-5.546
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.100 GHz,-1.51,-5.355
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.200 GHz,-1.588,-5.172
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.300 GHz,-1.667,-4.998
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.400 GHz,-1.748,-4.831
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.500 GHz,-1.829,-4.672
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.600 GHz,-1.912,-4.518
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.700 GHz,-1.997,-4.371
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.800 GHz,-2.082,-4.229
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,2.900 GHz,-2.169,-4.093
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,3.000 GHz,-2.257,-3.962
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,3.100 GHz,-2.346,-3.836
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,3.200 GHz,-2.437,-3.715
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,3.300 GHz,-2.528,-3.598
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,3.400 GHz,-2.622,-3.485
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.2,3.500 GHz,-2.717,-3.375
