,Input,,,,,Output,,,
S/N,W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm),Fc (GHz),BW (GHz),SF (dB),Ro (dB/GHz)
1,5.1,3.6,6.6,0.1,7.4,2.04,10.31,20,119.3
2,5.1,3.6,6.4,0.1,7.4,2.042,10.17,20,120.8
3,5.1,3.6,6.2,0.1,7.4,2.045,10.481,18.5,115
4,5.1,3.6,6,0.1,7.4,2.047,10.531,18,120.9
5,4.8,3.6,6,0.1,7.4,2.103,10.507,19,114.9
6,4.6,3.6,6,0.1,7.4,2.13,10.3,20,105.7
7,4,3.2,5.7,0.2,7.6,2.5,8.45,18.5,93.5
8,4.4,3.8,6,0.1,7.4,2.134,10.22,19.5,113.5
9,4.4,4,6,0.1,7.4,2.05,10.4,18.5,93.5
10,4.4,4.2,6,0.1,7.4,1.96,10.3,17,147.3
11,4.6,4.2,6,0.1,7.4,19.26,10.34,16,126.7
12,4.6,4.2,6,0.1,7.6,1.903,10.343,16,117.4
13,4.6,4.2,6,0.1,7.8,1.894,10.21,16.5,144.17
14,4.6,4.2,6,0.1,8,1.89,10.19,17,145.9
15,4.6,4.2,6.2,0.1,8,1.903,10.51,17,148.2
16,4.6,4.2,6.4,0.2,8,1.91,10.46,17.5,148.1
17,4.6,4.2,6.6,0.2,8,1.913,10.3,18.5,155.1
18,4.6,4.2,6.5,0.2,8,1.911,9.21,14,133.1
19,4.6,4.2,6.3,0.2,8,1.902,9.26,13.5,128.9
20,4.6,4.2,6.1,0.2,8,1.876,9.479,12,118.2
21,4.6,4.2,6.1,0.2,7.8,1.879,9.659,12,117.8
22,4.6,4.2,6.1,0.2,7.6,1.881,9.781,11.5,118.1
23,4.6,4,6.1,0.2,7.6,1.965,9.65,13,120.5
24,4.8,4,6.1,0.2,7.6,1.913,9.9,12,122.1
25,4.4,4,6.1,0.2,7.6,2.03,9.76,14,153.6
26,4.4,3.8,6.1,0.2,7.6,2.11,9.67,15,146.8
27,4.4,3.6,6.1,0.2,7.6,2.21,9.38,16,151.6
28,4.2,3.6,6.1,0.2,7.6,2.249,9.11,16.5,152.1
29,4.2,3.4,6.1,0.2,7.6,2.33,8.97,17.5,112.1
30,4,3.4,6.1,0.2,7.6,2.4,8.69,18.5,102.7
31,4,3.2,6.1,0.2,7.6,2.47,5.7,20,90.2
32,4,3.2,5.9,0.2,7.6,2.49,7.95,20,94.8
33,4.4,3.6,6,0.1,7.4,2.2,10.24,20,158.3
